t,n_bits,p,prep_init,cost_total,prep_in_mixers,reflection_anc,reflection_noanc,total_depth_anc,total_depth_noanc,n_ancillas_anc
156,1248,6,495,6,5940,150,14982,6591,21423,1247
157,1256,6,495,6,5940,150,15078,6591,21519,1255
158,1264,6,495,6,5940,150,15174,6591,21615,1263
159,1272,6,495,6,5940,150,15270,6591,21711,1271
160,1280,6,495,6,5940,150,15366,6591,21807,1279
161,1288,6,495,6,5940,150,15462,6591,21903,1287
162,1296,6,495,6,5940,150,15558,6591,21999,1295
163,1304,6,495,6,5940,150,15654,6591,22095,1303
164,1312,6,495,6,5940,150,15750,6591,22191,1311
165,1320,6,495,6,5940,150,15846,6591,22287,1319
166,1328,6,495,6,5940,150,15942,6591,22383,1327
167,1336,6,495,6,5940,150,16038,6591,22479,1335
168,1344,6,495,6,5940,150,16134,6591,22575,1343
169,1352,6,495,6,5940,150,16230,6591,22671,1351
170,1360,6,495,6,5940,150,16326,6591,22767,1359
171,1368,6,495,6,5940,150,16422,6591,22863,1367
172,1376,6,495,6,5940,150,16518,6591,22959,1375
173,1384,6,495,6,5940,150,16614,6591,23055,1383
174,1392,6,495,6,5940,150,16710,6591,23151,1391
175,1400,6,495,6,5940,150,16806,6591,23247,1399
176,1408,6,495,6,5940,150,16902,6591,23343,1407
177,1416,6,495,6,5940,150,16998,6591,23439,1415
178,1424,6,495,6,5940,150,17094,6591,23535,1423
179,1432,6,495,6,5940,150,17190,6591,23631,1431
180,1440,6,495,6,5940,150,17286,6591,23727,1439
181,1448,6,495,6,5940,150,17382,6591,23823,1447
182,1456,6,495,6,5940,150,17478,6591,23919,1455
183,1464,6,495,6,5940,150,17574,6591,24015,1463
184,1472,6,495,6,5940,150,17670,6591,24111,1471
185,1480,6,495,6,5940,150,17766,6591,24207,1479
186,1488,6,495,6,5940,150,17862,6591,24303,1487
187,1496,6,495,6,5940,150,17958,6591,24399,1495
188,1504,6,495,6,5940,150,18054,6591,24495,1503
189,1512,6,495,6,5940,150,18150,6591,24591,1511
190,1520,6,495,6,5940,150,18246,6591,24687,1519
191,1528,6,495,6,5940,150,18342,6591,24783,1527
192,1536,6,495,6,5940,150,18438,6591,24879,1535
193,1544,6,495,6,5940,150,18534,6591,24975,1543
194,1552,6,495,6,5940,150,18630,6591,25071,1551
195,1560,6,495,6,5940,150,18726,6591,25167,1559
196,1568,6,495,6,5940,150,18822,6591,25263,1567
197,1576,6,495,6,5940,150,18918,6591,25359,1575
198,1584,6,495,6,5940,150,19014,6591,25455,1583
199,1592,6,495,6,5940,150,19110,6591,25551,1591
200,1600,6,495,6,5940,150,19206,6591,25647,1599
201,1608,6,495,6,5940,150,19302,6591,25743,1607
202,1616,6,495,6,5940,150,19398,6591,25839,1615
203,1624,6,495,6,5940,150,19494,6591,25935,1623
204,1632,6,495,6,5940,150,19590,6591,26031,1631
205,1640,6,495,6,5940,150,19686,6591,26127,1639
